ADMIN_BOUN,year,Canola WEIGHTED AVERAGE YIELD ,Canola TOTAL ACREAGE ,Wheat WEIGHTED AVERAGE YIELD ,Wheat TOTAL ACREAGE ,Soybean WEIGHTED AVERAGE YIELD ,Soybean TOTAL ACREAGE ,Barley WEIGHTED AVERAGE YIELD,Barley TOTAL ACREAGE ,
RSA08,2013,39.3,206044,62.8,168392,28.1,5144,75.4,4916,
RSA09,2013,36.5,357666,59.9,330685,34.5,42982,66.8,31479,
RSA10,2013,41.3,80314,55.9,65511,36.6,48676,67.3,16171,
RSA11,2013,44.9,201484,67.5,223402,40.9,87789,88.6,46606,
RSA12,2013,49,455263,70.2,595584,40.3,563917,96.8,64178,
RSA14,2013,43.9,43087,62.3,88080,35.4,120709,81.8,6962,
RSA15,2013,41.9,70096,58.2,73332,32,49608,83.5,11892,
RSA16,2013,17.5,24215,30.5,21938,NA,NA,NA,NA,
RSA01,2012,25.4,138612,43.9,135360,30.3,3870,44.1,22347,
RSA02,2012,29.2,385905,51,337864,34.4,13213,60.1,48520,
RSA03,2012,24,154931,45.4,125290,32.9,2797,43.4,31113,
RSA04,2012,29.7,213094,47.8,190642,33.3,12794,50.5,47604,
RSA05,2012,31.1,375399,50.3,326938,33,23765,60.4,50396,
RSA06,2012,31.8,338929,51.9,287141,NA,NA,52.9,52330,
RSA07,2012,29.3,186703,49,137170,NA,NA,47.2,24548,
RSA08,2012,16,244412,39.7,133182,NA,NA,31.3,1976,
RSA09,2012,21.1,428222,42.6,269264,34.7,14223,33.8,31607,
RSA10,2012,26.3,90137,46.9,62833,34.4,43572,50.7,14205,
RSA11,2012,27.1,235524,55.3,191311,35.7,64495,60.1,49491,
RSA12,2012,31.2,512634,66.4,495296,36.5,515157,73.9,76259,
RSA14,2012,21.6,58584,57,70084,38.6,103209,42.1,12485,
RSA15,2012,25.5,96138,46.7,57609,35.4,28372,42.9,16110,
RSA16,2012,19.3,25694,26.1,17571,NA,NA,NA,NA,
RSA01,2011,13.6,21444,26.7,24719,NA,NA,15.1,2682,
RSA02,2011,23.2,179557,32.6,156621,NA,NA,34.8,19483,
RSA03,2011,21.3,64291,30.7,47225,NA,NA,27.6,6051,
RSA04,2011,27.3,129986,41.6,143682,29.1,4688,46.1,23398,
RSA05,2011,34.3,325439,43.6,266301,28.9,7589,50.2,37089,
RSA06,2011,25.7,225820,40.4,221398,NA,NA,34,27780,
RSA07,2011,28.8,120351,40.8,109074,NA,NA,31.1,12027,
RSA08,2011,41.2,213226,48.8,148585,,,38.1,2354,
RSA09,2011,30.5,285627,39.1,175945,30.5,5017,35.5,14251,
RSA10,2011,34.5,87641,42.7,45922,27.7,14622,34.9,11971,
RSA11,2011,28,159178,41.6,105443,24.8,27300,39.5,21071,
RSA12,2011,25.7,651828,40.1,420566,25.9,408574,38.4,47713,
RSA14,2011,26.2,58940,50.3,44342,24.8,98858,49.3,6664,
RSA15,2011,23.1,43802,36.6,23345,28.3,13173,39.8,3687,
RSA16,2011,22.5,24906,35.4,15860,NA,NA,NA,NA,
RSA01,2010,26.2,110804,35.9,111955,,,39.8,27179,
RSA02,2010,38.1,340474,47.1,330940,36.2,2562,62.8,47580,
RSA03,2010,32.6,123718,39.1,112736,29.5,1986,48.8,33971,
RSA04,2010,37.7,188368,46,199543,37,2884,57.7,43278,
RSA05,2010,44.8,368877,54.1,321981,33.1,9001,73.4,45148,
RSA06,2010,35.2,305940,42.8,266902,NA,NA,50.3,47876,
RSA07,2010,37.8,157840,43.1,127361,27.4,520,59.6,22820,
RSA08,2010,33.9,186632,44.4,143397,NA,NA,NA,NA,
RSA09,2010,25.5,292068,32.9,261526,28.4,3296,33.9,19584,
RSA10,2010,31.3,90022,49,56508,33.1,22006,40.8,13696,
RSA11,2010,31.3,226624,45.1,189832,33.3,30556,57,37050,
RSA12,2010,29.7,631311,43.8,475164,33.9,368684,44.4,54990,
RSA14,2010,14.8,73959,29.6,59831,24.4,73590,24.7,11121,
RSA15,2010,11,92268,21.3,47641,24,6617,14.6,10155,
RSA16,2010,33.8,20011,41.9,19289,NA,NA,NA,NA,
RSA01,2009,37.8,87439,45.9,113982,18,1948,64.7,32805,
RSA02,2009,45.3,287191,58.8,305070,30.1,3949,83.6,54612,
RSA03,2009,41.8,107581,46.5,117942,23.1,3357,64.9,40897,
RSA04,2009,44.9,166689,52.6,200237,30.4,3041,72.6,59133,
RSA05,2009,47.4,330214,61.7,317537,29.7,7821,84.7,55883,
RSA06,2009,45.5,274721,52.7,260093,NA,NA,75.3,69780,
RSA07,2009,45.9,147840,49.4,128119,NA,NA,71.1,33632,
RSA08,2009,47,189593,54.2,158977,NA,NA,58.6,2311,
RSA09,2009,42.6,319476,45.3,302625,31.6,3400,68.2,35282,
RSA10,2009,45.8,69398,59.7,56263,32.8,18698,73.2,13132,
RSA11,2009,42.8,198840,56.3,177480,32,26152,81.7,44216,
RSA12,2009,37,647535,51.7,475110,30.9,307118,72.1,85919,
RSA14,2009,27.3,61824,35.6,57126,22.3,55943,51.4,10291,
RSA15,2009,21.9,34426,23.4,21475,13,1603,34.2,8200,
RSA16,2009,41.5,22479,55.3,17085,NA,NA,74.2,1197,
RSA01,2008,31.5,90432,40.6,105815,NA,NA,54.3,33360,
RSA02,2008,41.5,289515,50.4,304946,NA,NA,70.6,75521,
RSA03,2008,37.8,100962,47.2,115201,NA,NA,66.1,47380,
RSA04,2008,40,164002,50.3,195956,NA,NA,70.2,68489,
RSA05,2008,45.9,311009,58.7,299004,31,5694,80.4,66589,
RSA06,2008,40.5,280582,51,232919,NA,NA,72.6,86246,
RSA07,2008,41.7,136784,50,114484,NA,NA,73.8,44626,
RSA08,2008,44.6,175478,56.2,164739,NA,NA,69.9,5282,
RSA09,2008,40.5,315231,51.9,307799,NA,NA,68.3,43515,
RSA10,2008,35.3,68634,56.9,58599,28.8,11170,61,16341,
RSA11,2008,36.3,210191,57,204506,33.5,10237,76.1,50040,
RSA12,2008,41,559445,63.6,575145,34.1,224043,84.4,79933,
RSA14,2008,35.7,66593,55.1,72786,31.5,48193,60.6,15828,
RSA15,2008,23.2,86745,30.8,69712,17.4,1351,29.4,19701,
RSA16,2008,40.6,22918,52.9,17007,NA,NA,75.4,2374,
RSA01,2007,25.2,80935,35.4,99541,NA,NA,50,43979,
RSA02,2007,30.7,282743,40.8,304415,NA,NA,63.2,85866,
RSA03,2007,25.4,92573,35,95765,NA,NA,47.5,60819,
RSA04,2007,29.6,157256,39.9,170341,NA,NA,59.8,76299,
RSA05,2007,32,297372,45.7,267023,35.4,3693,62.1,96364,
RSA06,2007,29.8,258901,40.9,209226,NA,NA,56.4,108545,
RSA07,2007,29.4,129902,40.1,111058,NA,NA,55.7,48690,
RSA08,2007,31.6,167782,46.5,147905,NA,NA,44.9,8610,
RSA09,2007,24.1,306108,36.4,251516,NA,NA,43,55741,
RSA10,2007,29.9,67857,49.7,43684,30.8,7208,54,22347,
RSA11,2007,30.9,193395,52.6,172242,32,11218,74.6,66090,
RSA12,2007,30.2,551216,54.5,548640,38.6,155403,69,117740,
RSA14,2007,15.5,72154,38.7,58449,34.4,29620,30.2,22690,
